Date,Open,High,Low,Close,Volume
13-Mar-25,10.58,10.69,9.75,9.78,9.78,"5,610,800"
12-Mar-25,10.73,11.41,10.23,10.71,10.71,"4,057,600"
11-Mar-25,10.29,10.71,9.9,10.57,10.57,"3,138,200"
10-Mar-25,10.49,10.57,9.75,10.01,10.01,"6,308,200"
7-Mar-25,11.09,11.18,10.47,11,11,"2,679,500"
6-Mar-25,10.97,11.7,10.65,10.95,10.95,"6,746,200"
5-Mar-25,11.42,11.74,11.02,11.68,11.68,"4,493,400"
4-Mar-25,10.79,11.91,10.46,11.38,11.38,"5,853,700"
3-Mar-25,13.5,13.86,11.16,11.32,11.32,"7,652,000"
28-Feb-25,10.59,12.58,10.5,12.31,12.31,"10,685,800"
27-Feb-25,10.8,12.01,10.75,10.89,10.89,"10,639,700"
26-Feb-25,10.03,10.66,9.92,10.25,10.25,"12,150,300"
25-Feb-25,10.49,11.26,9.05,9.26,9.26,"16,957,700"
24-Feb-25,13.09,13.45,12.26,13.1,13.1,"8,512,000"
21-Feb-25,15.29,15.31,13.02,13.09,13.09,"8,435,800"
20-Feb-25,15.13,15.42,13.79,14.93,14.93,"7,812,400"
19-Feb-25,15.12,15.38,14.5,14.92,14.92,"8,803,300"
18-Feb-25,16.44,16.58,14.87,15.03,15.03,"5,365,800"
14-Feb-25,16.52,16.92,16.12,16.5,16.5,"2,966,200"
13-Feb-25,16.27,16.65,15.61,16.58,16.58,"3,319,300"
12-Feb-25,15.95,16.51,15.75,16.16,16.16,"3,496,800"
11-Feb-25,16.98,18.06,15.56,15.66,15.66,"6,871,400"
10-Feb-25,16.72,17.65,16.34,17.41,17.41,"4,343,500"
7-Feb-25,16.8,17.77,16.52,16.66,16.66,"3,333,300"
6-Feb-25,16.6,17.44,15.94,16.26,16.26,"3,813,500"
5-Feb-25,17.17,17.75,15.88,16.25,16.25,"5,592,800"
4-Feb-25,17.8,17.94,16.8,16.89,16.89,"3,906,500"
3-Feb-25,16.9,17.97,16.29,17.77,17.77,"6,632,900"
31-Jan-25,18.29,19.07,18.09,18.52,18.52,"4,821,300"
30-Jan-25,17.75,18.5,17.56,18.17,18.17,"6,171,000"
29-Jan-25,16.92,17.56,16.62,17.12,17.12,"4,231,400"
28-Jan-25,16.4,17.66,15.56,16.67,16.67,"7,687,800"
27-Jan-25,19.16,19.25,15.1,15.54,15.54,"12,032,600"
24-Jan-25,20.17,21.68,19.6,20.66,20.66,"6,867,200"
23-Jan-25,19.8,20.43,19.01,19.75,19.75,"5,970,300"
22-Jan-25,21.54,22.53,19.1,20.54,20.54,"10,475,700"
21-Jan-25,21.53,22.75,20.05,21.71,21.71,"8,784,900"
17-Jan-25,22.5,23.19,20.33,20.9,20.9,"9,384,900"
16-Jan-25,20.22,21.68,19.9,21.54,21.54,"4,321,400"
15-Jan-25,20.14,21.35,19.57,20.84,20.84,"8,101,800"
14-Jan-25,18.31,19.24,17.71,19.04,19.04,"6,493,400"
13-Jan-25,17.33,17.68,16.39,17.11,17.11,"5,189,000"
10-Jan-25,18.03,18.79,16.89,18.5,18.5,"9,511,500"
8-Jan-25,19.5,20.3,17.8,18.58,18.58,"9,774,500"
7-Jan-25,23.3,23.77,19.68,19.7,19.7,"10,060,800"
6-Jan-25,26.2,26.99,22.91,23.28,23.28,"11,434,800"
3-Jan-25,22.99,26.2,22.6,26.1,26.1,"8,221,200"
2-Jan-25,22.03,25.18,21.52,22.87,22.87,"7,167,100"
31-Dec-24,23.94,23.97,21.04,21.67,21.67,"5,366,100"
30-Dec-24,22.9,22.99,20.15,22.29,22.29,"9,925,700"
27-Dec-24,25,26.24,23.36,23.65,23.65,"6,917,900"
26-Dec-24,22.9,25.12,22.71,24.46,24.46,"6,544,300"
24-Dec-24,21.77,24,20.7,23.56,23.56,"8,103,100"
23-Dec-24,20.4,20.94,19.42,20.52,20.52,"5,857,600"
20-Dec-24,18.28,20.85,18,20.49,20.49,"10,439,700"
19-Dec-24,20.44,20.8,18.01,18.14,18.14,"9,238,900"
18-Dec-24,21,22.7,19.29,19.4,19.4,"9,397,600"
17-Dec-24,24.65,24.75,19.75,21.22,21.22,"15,583,900"
16-Dec-24,22.2,25.51,21.81,23.14,23.14,"15,233,700"
13-Dec-24,22.23,23.65,20.43,20.92,20.92,"11,068,400"
12-Dec-24,21.19,24.68,20.4,21.37,21.37,"14,962,300"
11-Dec-24,20,22.3,18.42,19.93,19.93,"11,318,700"
10-Dec-24,19.5,21.4,18.72,18.9,18.9,"11,067,500"
9-Dec-24,22.54,22.86,19.89,20.63,20.63,"14,112,500"
6-Dec-24,18.49,22.01,17.64,21.01,21.01,"18,455,300"
5-Dec-24,18.11,19.49,16.96,16.98,16.98,"12,635,900"
4-Dec-24,15.02,17.67,14.85,16.08,16.08,"13,465,700"
3-Dec-24,13.4,15.35,13.13,14.79,14.79,"8,718,500"
2-Dec-24,14.74,14.8,13.66,13.84,13.84,"6,770,600"
29-Nov-24,13.1,15.5,12.9,14.27,14.27,"15,867,500"
27-Nov-24,11.57,12.35,11.31,12.23,12.23,"4,054,300"
26-Nov-24,12.01,12.01,11.12,11.16,11.16,"3,739,900"
25-Nov-24,11.71,12.96,11.17,12.33,12.33,"7,715,400"
22-Nov-24,10.84,12.25,10.56,11.54,11.54,"13,170,300"
21-Nov-24,12.84,12.85,11.04,11.19,11.19,"7,714,500"
20-Nov-24,12.06,13.61,11.77,11.89,11.89,"7,560,700"
19-Nov-24,11.97,12.58,11.23,11.54,11.54,"4,606,400"
18-Nov-24,10.75,12.52,8.79,11.85,11.85,"11,031,100"
15-Nov-24,11.12,11.13,10.5,11.09,11.09,"4,442,300"
14-Nov-24,11.3,11.64,10.45,10.74,10.74,"5,612,500"
13-Nov-24,11.05,13.52,10.34,10.6,10.6,"12,326,400"
12-Nov-24,11.03,11.4,10.53,10.97,10.97,"7,674,700"
11-Nov-24,9.99,11.61,9.86,11.34,11.34,"10,464,900"
8-Nov-24,8.89,9.53,8.69,8.96,8.96,"3,390,300"
7-Nov-24,8.52,9.19,8.28,8.9,8.9,"3,000,900"
6-Nov-24,8.97,9.02,8.32,8.51,8.51,"5,421,400"
